;1957-1959;1960-1969;1970-1979;1980-19891990;19911992;1993;1994;1995;1996;TOTAL
# Summary of Announced Payloads
# https://history.nasa.gov/pocketstats/sect%20B/Annouced%20Pay.pdf
Argentina;0;0;0;0;1;0;0;0;0;0;0;1
AsiaSat;0;0;0;0;1;0;0;0;0;0;0;1
ASCO;0;0;0;2;0;0;0;0;0;0;0;2
Australia;0;1;1;3;0;0;2;0;1;0;0;8
Brazil;0;0;0;2;1;0;0;1;1;0;0;5
Canada;0;0;4;5;0;2;1;0;0;1;0;13
China;0;0;8;16;5;1;2;1;5;1;3;42
CIS(USSR);6;399;1028;1132;96;101;77;59;64;45;25;3032
Cooperative *;0;14;23;4;3;5;3;1;1;1;0;55
Czechoslovakia;0;0;1;1;0;0;0;0;0;1;0;3
ESA;0;2;5;14;1;4;1;2;1;2;9;32
France;0;4;14;5;2;6;3;2;0;3;0;39
Germany;0;0;3;7;1;1;1;0;2;1;0;16
India;0;0;1;9;1;1;2;1;2;1;1;19
Indonesia;0;0;1;3;1;0;1;0;0;0;0;6
InMarSat;0;0;2;0;1;0;1;0;0;0;0;2
Israel;0;0;0;1;1;0;0;0;0;1;0;4
Italy;0;0;1;0;0;1;0;2;0;0;0;4
Japan;0;0;18;26;7;2;3;1;4;2;1;64
Korea;0;0;0;0;0;0;1;1;0;1;0;3
Luxembourg;0;0;0;0;0;0;0;1;0;1;0;2
Mexico;0;0;0;2;0;0;0;1;1;0;0;4
NATO;0;0;5;1;0;1;0;1;0;0;0;8
Pakistan;0;0;0;0;1;0;0;0;0;0;0;1
PanAmSat;0;0;0;1;0;0;0;0;0;0;0;1
Saudi Arabia;0;0;0;0;0;0;1;0;0;0;0;1
Spain;0;0;0;0;0;0;1;1;0;1;0;3
Sweden;0;0;0;2;0;0;1;0;0;1;0;4
United Kingdom;0;1;6;4;5;2;0;0;0;0;0;18
United States *;18;614;247;191;31;30;27;29;27;24;34;1272
TOTAL;24;1035;1366;1431;159;157;128;104;109;87;73;4673;

* Separate Breakdown Follows
