;1957-1959;1960-1969;1970-1979;1980-1989;1990;1991;1992;1993;1994;1995;1996;TOTAL
# https://history.nasa.gov/pocketstats/sect%20B/CIS%20(USSR)Payload.pdf
Unofficial Tabulation of CIS (USSR) Payloads
Almaz;0;0;0;0;0;1;0;0;0;0;0;1
Buran;0;0;0;1;0;0;0;0;0;0;0;1
Cosmos;0;317;831;906;66;54;55;38;37;27;11;2342
Ekan;0;0;4;15;0;0;1;0;0;0;0;21
Electro;0;0;0;0;0;0;0;0;1;0;0;1
Electron;0;4;0;0;0;0;0;0;0;0;0;4
Express;0;0;0;0;0;0;0;0;1;0;0;1
Foton;0;0;0;2;1;1;1;0;0;0;0;5
Gals;0;0;0;0;0;0;0;0;1;1;1;3
Gamma;0;0;0;0;1;0;0;0;0;0;0;1
Geo-1k;0;0;0;0;0;0;0;0;1;0;0;1
Gorizont;0;0;3;16;3;2;3;2;1;0;2;32
Granat;0;0;0;1;0;0;0;0;0;0;0;1
Informator;0;2;12;0;0;1;0;0;0;0;0;15
Interball Tail;0;0;0;0;0;0;0;0;0;1;1;2
Intercosmos;0;0;6;3;0;1;0;0;0;0;0;10
Iskra;0;0;0;3;0;0;0;0;0;0;0;3
Koronas;0;0;0;0;0;0;0;0;1;0;0;1
Kristall;0;0;0;0;1;0;0;0;0;0;0;1
Kvant;0;0;0;2;0;0;0;0;0;0;0;2
Luch;0;0;0;0;0;0;0;0;1;1;0;2
Luna;3;12;9;0;0;0;0;0;0;0;0;24
Mars;0;1;6;0;0;0;0;0;0;0;1;8
Meteor;0;2;32;18;2;2;0;1;1;0;0;58
Mir;0;0;0;1;0;0;0;0;0;0;0;1
Molniya;0;15;63;18;6;5;4;52;1;2;155
Nadezhda;0;0;0;1;1;1;0;0;1;0;0;4
Okean;0;0;0;1;1;1;0;0;1;0;0;4
TOTAL;3;353;966;1025;82;69;64;46;50;31;18;2708 


Unofficial Tabulation of CIS (USSR) Payloads (cont'd)

Phobos;0;0;0;2;0;0;0;0;0;0;0;2
Photon-10;0;0;0;0;0;0;0;0;0;1;0;1
Pion;0;0;0;0;0;0;2;0;0;0;0;2
Polyot;0;2;0;0;0;0;0;0;0;0;0;2
Priroda;0;0;0;0;0;0;0;0;0;0;1;1
Prognoz;0;0;7;3;0;0;0;0;0;0;0;10
Progress;0;0;7;36;4;4;5;5;5;5;3;74
Proton;0;4;0;0;0;0;0;0;0;0;0;4
Radio;0;0;2;6;0;0;0;0;0;0;0;8
Radio Rusto;0;0;0;0;0;0;0;0;1;1;0;2
Raduga;0;0;5;20;3;2;0;2;3;1;1;37
Resurs;0;0;0;5;4;4;4;3;1;1;0;22
Salyut;0;0;6;1;0;0;0;0;0;0;0;7
Soyuz;0;8;27;28;3;2;2;2;3;2;2;79
Spektr;0;0;0;0;0;0;0;0;0;1;0;1
Sputnik;3;9;0;0;0;0;0;0;0;0;0;12
Start;0;0;0;0;0;0;0;1;0;0;0;1
Tsikada;0;0;0;0;0;0;0;0;0;1;0;1
Vega;0;0;0;2;0;0;0;0;0;0;0;2
Venera;0;5;6;4;0;0;0;0;0;0;0;15
Voskhod;0;2;0;0;0;0;0;0;0;0;0;2
Vostok;0;4;0;0;0;0;0;0;0;0;0;4
Zond;0;9;1;0;0;0;0;0;0;0;0;10
No Designation;0;6;0;0;0;0;0;0;0;0;0;6
TOTAL;3;49;61;107;14;12;13;13;13;13;7;305
